feature,importance
Churn,0.7116449605628157
tenure,0.05522020537976307
TotalCharges,0.04360846942374078
MonthlyCharges,0.03321717114653237
InternetService_Fiber optic,0.029836774252786163
Contract_Two year,0.023368928239487424
PaymentMethod_Electronic check,0.018386393525616447
InternetService_No,0.012106864657398287
Contract_One year,0.009871965098135779
PaperlessBilling,0.008372194661592568
OnlineSecurity,0.007573502139885296
TechSupport,0.006980047265248468
OnlineBackup,0.004590850016158862
Dependents,0.004212045593716079
gender,0.0040872390864925
Partner,0.003762156808589457
SeniorCitizen,0.0037528426443557967
MultipleLines,0.0035566083101822394
StreamingMovies,0.003404045313964267
StreamingTV,0.003166385547768161
